公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1417,嘉裕,,,,164141.0,,11049,,--,--,,,,,,,-13900,--,--,-0.16,,,,,-50808.0,-61857.0,-61857.0,,--,-13900.0,--,458157.0,396384.0,--,--,61773.0,--,--,61773.0,--,-102368.0,51560.0,47957,-61857,--,,,,,,,,,,,
1418,東華,,,,22920.0,,-139,,--,--,,,,,,,-60029,--,-6,-1.11,,,,,-60304.0,-60165.0,-60165.0,,--,-60035.0,--,154720.0,184042.0,--,--,-29322.0,--,--,-29322.0,--,-52242.0,-8062.0,130,-60159,-6,,,,,,,,,,,
1419,新紡,,,,102253.0,,-2343,,--,--,,,,,,,67974,--,-1629,-0.19,,,,,-60201.0,-57858.0,-57858.0,,--,66345.0,--,345626.0,289822.0,--,--,55804.0,--,--,55804.0,--,-46449.0,-13752.0,124203,-56229,-1629,,,,,,,,,,,
1423,利華羊毛,,,,9639.0,,136,,--,--,,,,,,,--,--,--,0.1,,,,,17037.0,16901.0,16901.0,,--,20605.0,--,218911.0,207254.0,--,--,11657.0,--,--,11657.0,--,2018.0,15019.0,3704,--,--,,,,,,,,,,,
1432,大魯閣實業,,,,221707.0,,0,,--,--,,,,,,,-33068,--,-7066,-0.33,,,,,-62818.0,-62818.0,-62818.0,,--,-40134.0,--,201861.0,44754.0,--,--,157107.0,--,--,157107.0,--,-64600.0,1782.0,22684,-55733,-7085,,,,,,,,,,,
1434,福懋興業,,,,661456.0,,170994,,--,--,,,,,,,1365032,--,170104,0.17,,,,,552911.0,381917.0,381917.0,,--,1535136.0,--,10730423.0,9439184.0,--,--,1291239.0,--,--,1291239.0,--,629783.0,-76872.0,1153219,284674,97243,,,,,,,,,,,
1435,中福國際,,,,9025.0,,0,,0,--,,,,,,,-3771,--,0,-0.04,,,,,-4414.0,-4414.0,-4414.0,,--,-3771.0,--,9097.0,625.0,--,--,8472.0,0,0,8472.0,0,-553.0,-3861.0,643,-4414,0,,,,,,,,,,,
1436,華友聯,,,,52693.0,,6093,,--,--,,,,,,,116121,--,--,1.52,,,,,121332.0,115239.0,115239.0,,--,116121.0,--,631448.0,443623.0,--,--,187825.0,--,--,187825.0,--,135132.0,-13800.0,882,115239,--,,,,,,,,,,,
1437,勤益投控,,,,25374.0,,22619,,--,--,,,,,,,73998,--,-138,0.44,,,,,107711.0,85092.0,85092.0,,--,73860.0,--,176684.0,35700.0,--,--,140984.0,--,--,140984.0,--,115610.0,-7899.0,-11232,84927,165,,,,,,,,,,,
1438,裕豐,,,,2344.0,,--,,--,--,,,,,,,--,--,--,-0.02,,,,,-1684.0,-1684.0,-1684.0,,--,-1684.0,--,1.0,41.0,--,--,-40.0,--,--,-40.0,--,-2384.0,700.0,--,--,--,,,,,,,,,,,
1439,中和羊毛,,,,8234.0,,277,,--,--,,,,,,,--,--,--,-0.03,,,,,-2362.0,-2639.0,-2639.0,,--,-2639.0,--,65031.0,61984.0,--,--,3047.0,--,--,3047.0,--,-5187.0,2825.0,0,--,--,,,,,,,,,,,
1440,南紡,,,,551684.0,,51917,,--,--,,,,,,,62440,--,-408,0.1,,,,,217527.0,165610.0,165610.0,,--,62032.0,--,6000881.0,5251784.0,--,--,749097.0,--,--,749097.0,--,197413.0,20114.0,-103578,164011,1599,,,,,,,,,,,
1441,大東紡織,,,,58790.0,,1735,,--,--,,,,,,,-75593,--,--,-0.95,,,,,-70354.0,-72089.0,-72089.0,,--,-75593.0,--,426702.0,411107.0,--,--,15595.0,--,--,15595.0,--,-43195.0,-27159.0,-3504,-72089,--,,,,,,,,,,,
1442,名軒,,,,50122.0,,8974,,--,--,,,,,,,80984,--,0,0.27,,,,,90323.0,81349.0,81349.0,,--,80984.0,--,482232.0,343300.0,--,--,138932.0,--,--,138932.0,--,88810.0,1513.0,-365,81349,0,,,,,,,,,,,
1443,立益紡織,,,,39149.0,,2450,,161,--,,,,,,,-36691,--,-11444,-0.25,,,,,-36808.0,-39258.0,-39097.0,,--,-48135.0,--,278480.0,287336.0,--,--,-8856.0,--,--,-8856.0,--,-48005.0,11197.0,-9038,-33911,-5186,,,,,,,,,,,
