公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1417,嘉裕,,,,792744.0,,,,--,--,,,,,,,-356865,--,--,-1.21,,,,,-458694.0,,-458939.0,-458939.0,,--,-356865.0,--,2032130.0,1746806.0,--,--,285324.0,--,--,285324.0,--,-507420.0,48726.0,245,102074,-458939,--,,,,,,,,,,,
1418,東華,,,,135177.0,,,,--,--,,,,,,,-325198,--,-26,-7.42,,,,,-317831.0,,-321624.0,-321624.0,,--,-325224.0,--,1637700.0,1793578.0,--,--,-155878.0,--,--,-155878.0,801,-290254.0,-27577.0,3793,-3600,-321598,-26,,,,,,,,,,,
1419,新紡,,,,411877.0,,,,--,--,,,,,,,1530968,--,-9769,4.15,,,,,1381505.0,,1232439.0,1232439.0,,--,1521199.0,--,1487951.0,1202010.0,--,--,285941.0,--,--,285941.0,--,-125936.0,1507441.0,149066,288760,1242208,-9769,,,,,,,,,,,
1423,利華羊毛,,,,34766.0,,,,--,--,,,,,,,--,--,--,0.27,,,,,49999.0,,45935.0,45935.0,,--,53908.0,--,681370.0,642228.0,--,--,39142.0,--,--,39142.0,--,4376.0,45623.0,4064,7973,--,--,,,,,,,,,,,
1432,大魯閣實業,,,,1231481.0,,,,0,--,,,,,,,-170081,--,-36405,-0.85,,,,,-177531.0,,-178203.0,-178203.0,,--,-206486.0,--,1163986.0,110319.0,--,--,1053667.0,--,--,1053667.0,--,-177814.0,283.0,672,-28283,-141977,-36226,,,,,,,,,,,
1434,福懋興業,,,,2677281.0,,,,--,--,,,,,,,5148811,--,582649,2.54,,,,,5276484.0,,4760016.0,4760016.0,,--,5731460.0,--,40705664.0,35566893.0,--,--,5138771.0,--,--,5138771.0,--,2461490.0,2814994.0,516468,971444,4279871,480145,,,,,,,,,,,
1435,中福國際,,,,35046.0,,,,0,--,,,,,,,719,0,0,0.01,,,,,784.0,,719.0,719.0,,--,719.0,--,34848.0,2549.0,--,--,32299.0,0,0,32299.0,0,-2747.0,3531.0,65,0,719,0,,,,,,,,,,,
1436,華友聯,,,,210313.0,,,,--,--,,,,,,,243620,--,--,3.15,,,,,276949.0,,238882.0,238882.0,,--,243620.0,--,2228136.0,1679245.0,--,--,548891.0,--,--,548891.0,--,338578.0,-61629.0,38067,4738,238882,--,,,,,,,,,,,
1437,勤益投控,,,,100195.0,,,,--,--,,,,,,,440594,--,-1319,1.6,,,,,352722.0,,310146.0,310146.0,,--,439275.0,--,548329.0,164809.0,--,--,383520.0,--,--,383520.0,--,283325.0,69397.0,42576,129129,310654,-508,,,,,,,,,,,
1438,裕豐,,,,7909.0,,,,--,--,,,,,,,--,--,--,-0.05,,,,,-5569.0,,-5569.0,-5569.0,,--,-5569.0,--,43.0,68.0,--,--,-25.0,--,--,-25.0,--,-7934.0,2365.0,--,--,--,--,,,,,,,,,,,
