公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1418,東華,22990.0,43377,57970,-46.99,-60.34,105193,212690,-50.54
1419,新紡,146762.0,154998,137574,-5.31,6.67,551239,483200,14.08
1423,利華羊毛,63594.0,38900,56840,63.48,11.88,175694,275751,-36.28
1434,福懋興業,4285409.0,4419100,3872055,-3.02,10.67,16004256,14602478,9.59
1439,中和羊毛,17363.0,6578,26397,163.95,-34.22,72814,91429,-20.36
1440,南紡,1972090.0,2217452,1870378,-11.06,5.43,7737477,7877336,-1.77
1441,大東紡織,131661.0,155685,145656,-15.43,-9.60,508890,572334,-11.08
1443,立益紡織,63051.0,55594,101056,13.41,-37.60,240390,373368,-35.61
1444,力麗,1020252.0,1114135,1043306,-8.42,-2.20,4207330,4000108,5.18
1445,大宇紡織,124374.0,139759,134014,-11.00,-7.19,515772,508307,1.46
1446,宏和,43963.0,25731,51843,70.85,-15.19,127391,123149,3.44
1447,力鵬,1422954.0,1419677,1583088,0.23,-10.11,5248295,6383487,-17.78
1449,佳和實業,220943.0,196788,230541,12.27,-4.16,784548,765684,2.46
1451,年興紡織,639664.0,721011,696416,-11.28,-8.14,2736237,2446330,11.85
1452,宏益,178997.0,165643,147866,8.06,21.05,689826,680177,1.41
1453,大將,37.0,37,1577,0.00,-97.65,273,3751,-92.72
1454,台富,176514.0,165670,165104,6.54,6.91,648551,623190,4.06
1455,集盛,1117121.0,1147590,1293062,-2.65,-13.60,4660193,5405084,-13.78
1456,怡華,114232.0,56441,42774,102.39,167.05,309657,132765,133.23
1457,宜進,483979.0,471442,424864,2.65,13.91,1851136,1840519,0.57
1459,聯發紡織,294357.0,352140,282381,-16.40,4.24,1209808,1159620,4.32
1460,宏遠,734719.0,795573,750487,-7.64,-2.10,2986621,3120977,-4.30
1463,強盛染整,47524.0,53502,43396,-11.17,9.51,201899,390644,-48.31
1464,得力實業,815113.0,887459,709725,-8.15,14.84,3084441,2764654,11.56
1465,偉全實業,92688.0,123676,129541,-25.05,-28.44,393917,496416,-20.64
1466,聚隆,305811.0,358557,323879,-14.71,-5.57,1304089,1280329,1.85
1467,南緯實業,611395.0,499654,691490,22.36,-11.58,2168898,2095705,3.49
1468,昶和纖維,94992.0,93910,84085,1.15,12.97,330432,254716,29.72
1470,大統新創,73403.0,85503,59850,-14.15,22.64,282900,231847,22.02
1472,三洋紡,27124.0,36607,36288,-25.90,-25.25,106551,219704,-51.50
1473,台南企業,391520.0,745383,578803,-47.47,-32.35,2508184,2794461,-10.24
1474,弘裕,304444.0,333464,295293,-8.70,3.09,1168381,1163465,0.42
1475,本盟光電,4594.0,4857,3568,-5.41,28.75,18920,19241,-1.66
1476,儒鴻,2040691.0,2218399,2314978,-8.01,-11.84,8285669,8895147,-6.85
1477,聚陽實業,1819006.0,2500439,1617784,-27.25,12.43,8538581,6748872,26.51
4414,如興,878159.0,959703,1099403,-8.49,-20.12,4165571,4702692,-11.42
4426,利勤實業,235561.0,233383,167805,0.93,40.37,870800,727999,19.61
4438,廣越,747694.0,865284,497187,-13.58,50.38,3115001,1659504,87.70
1503,士電,1952433.0,2326833,2058764,-16.09,-5.16,8618109,7833388,10.01
1504,東元電機,3883445.0,4099679,4313688,-5.27,-9.97,15363264,16591676,-7.40
1506,正道,107664.0,120979,106492,-11.00,1.10,403274,423153,-4.69
1507,永大機電,1035330.0,1061747,1269902,-2.48,-18.47,4192264,5420029,-22.65
1513,中興電,860310.0,867703,1011622,-0.85,-14.95,3537177,3571241,-0.95
1514,亞力電機,417216.0,417577,312759,-0.08,33.39,1521445,1351478,12.57
1515,力山,634330.0,579314,350918,9.49,80.76,2642873,1365812,93.50
1517,利奇機械,248372.0,266702,236028,-6.87,5.22,977105,911358,7.21
1519,華城電機,450377.0,575665,383467,-21.76,17.44,1681530,1631348,3.07
1526,日馳,104555.0,84340,103607,23.96,0.91,343883,394881,-12.91
1527,鑽全,315568.0,319745,316159,-1.30,-0.18,1236924,1227136,0.79
1528,恩德,322028.0,339249,474294,-5.07,-32.10,1261913,1739719,-27.46
1529,樂士,5208.0,24792,5430,-78.99,-4.08,62184,48398,28.48
1530,亞崴機電,260772.0,313173,453868,-16.73,-42.54,1098468,1534355,-28.40
1531,高林股,215510.0,225456,216980,-4.41,-0.67,816797,799788,2.12
